Thu May 15 19:49:52 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/train.prof

         1350575 function calls (1320336 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.004    0.002 parallel.py:1(<module>)
   154/73    0.001    0.000    0.004    0.000 copy.py:227(_deepcopy_dict)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 generic.py:244(NDFrame)
    16184    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.004    0.004 events.py:1(<module>)
      270    0.000    0.000    0.004    0.000 _decorators.py:387(<listcomp>)
        2    0.000    0.000    0.004    0.002 _backend.py:1(<module>)
      117    0.004    0.000    0.004    0.000 loss.py:205(loss_gradient)
        2    0.000    0.000    0.004    0.002 _decorators.py:325(wrapper)
        2    0.000    0.000    0.004    0.002 generic.py:3797(to_csv)
        4    0.000    0.000    0.003    0.001 validation.py:2835(validate_data)
        1    0.000    0.000    0.003    0.003 _datetime.py:1(<module>)
        3    0.000    0.000    0.003    0.001 basic.py:1(<module>)
        2    0.000    0.000    0.003    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 lsq_linear.py:1(<module>)
      125    0.000    0.000    0.003    0.000 typing.py:506(__getitem__)
     1282    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.003    0.003 _handler.py:1(<module>)
     1270    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
        3    0.000    0.000    0.003    0.001 numeric.py:1(<module>)
        1    0.000    0.000    0.003    0.003 blas.py:1(<module>)
     1194    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        2    0.000    0.000    0.003    0.002 _distribution_infrastructure.py:1307(_generate_example)
        2    0.000    0.000    0.003    0.002 format.py:965(to_csv)
        2    0.000    0.000    0.003    0.002 style.py:1(<module>)
        1    0.000    0.000    0.003    0.003 eval.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _lil.py:1(<module>)
      959    0.001    0.000    0.003    0.000 typing.py:251(_collect_parameters)
     2136    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
       70    0.000    0.000    0.003    0.000 typing.py:1397(__or__)
        1    0.000    0.000    0.003    0.003 emphasis.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _linprog_rs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _kde.py:1(<module>)
        1    0.000    0.000    0.003    0.003 readers.py:1907(read)
        1    0.000    0.000    0.003    0.003 _trustregion_krylov.py:1(<module>)
        1    0.000    0.000    0.003    0.003 themes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 train.py:47(scale_data)
      3/2    0.000    0.000    0.003    0.002 _set_output.py:317(wrapped)
     1443    0.000    0.000    0.003    0.000 typing.py:715(<genexpr>)
        1    0.000    0.000    0.003    0.003 _codata.py:1(<module>)
       34    0.001    0.000    0.003    0.000 typing.py:2910(__new__)
        5    0.000    0.000    0.003    0.001 util.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _direct_py.py:1(<module>)
        1    0.000    0.000    0.003    0.003 apply.py:1(<module>)
      929    0.001    0.000    0.003    0.000 typing.py:1279(__init__)
      108    0.000    0.000    0.003    0.000 typing.py:729(Literal)
        1    0.000    0.000    0.003    0.003 _cobyla_py.py:1(<module>)
